#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2014 02 09 01 04 270  4.0  5.0   0.2    MM    MM  MM 1019.9  -1.6   3.5    MM  1.6   MM    MM
2014 02 09 00 04 260  5.0  6.0   0.3     3    MM  MM 1020.4  -1.7   3.4    MM  1.6   MM    MM
2014 02 08 23 04 260  5.0  7.0   0.3     2    MM  MM 1020.6  -1.6   3.5    MM  1.6   MM    MM
2014 02 08 22 04 250  6.0  7.0   0.4     3    MM  MM 1020.4  -1.9   3.7    MM  1.6   MM    MM
2014 02 08 21 04 250  6.0  7.0   0.4     3    MM  MM 1020.3  -2.2   4.1    MM  1.6   MM    MM
2014 02 08 20 04 250  5.0  7.0   0.4     3    MM  MM 1020.4  -2.5   4.1    MM  1.6   MM    MM
2014 02 08 19 04 240  5.0  7.0   0.4     3    MM  MM 1020.1  -3.0   4.1    MM  1.6   MM    MM
2014 02 08 18 04 270  5.0  7.0   0.5     3    MM  MM 1020.6  -4.0   4.0    MM  1.6   MM    MM
2014 02 08 17 04 270  5.0  7.0   0.5     3    MM  MM 1021.8  -4.9   4.0    MM  1.6   MM    MM
2014 02 08 16 04 280  7.0  9.0   0.6     3    MM  MM 1022.8  -5.3   4.0    MM  1.6   MM    MM
2014 02 08 15 04 280  7.0  9.0   0.7     3    MM  MM 1023.2  -6.3   3.9    MM  1.5   MM    MM
2014 02 08 14 04 270  8.0 10.0   0.7     3    MM  MM 1023.2  -6.6   3.9    MM  1.6   MM    MM
2014 02 08 13 04 280 10.0 13.0   0.8     4    MM  MM 1023.0  -6.6   3.9    MM  1.5   MM    MM
2014 02 08 12 04 270  9.0 11.0   0.8     3    MM  MM 1022.8  -6.3   3.9    MM  1.6   MM    MM
2014 02 08 11 04 260 10.0 13.0   0.7     4    MM  MM 1022.3  -5.8   3.9    MM  1.6   MM    MM
2014 02 08 10 04 260  9.0 11.0   0.7     3    MM  MM 1021.6  -5.4   3.9    MM  1.6   MM    MM
2014 02 08 09 04 270  9.0 11.0   0.9     4    MM  MM 1020.8  -4.9   3.9    MM  1.6   MM    MM
2014 02 08 08 04 260 10.0 12.0   0.8     4    MM  MM 1020.5  -4.0   4.0    MM  1.6   MM    MM
2014 02 08 07 04 250 10.0 12.0   0.7     4    MM  MM 1020.5  -3.3   4.0    MM  1.6   MM    MM
2014 02 08 06 04 250  9.0 12.0   0.7     4    MM  MM 1020.4  -3.0   3.9    MM  1.6   MM    MM
2014 02 08 05 04 260  9.0 11.0   0.7     3    MM  MM 1021.0  -3.0   3.9    MM  1.6   MM    MM
2014 02 08 04 04 260  9.0 11.0   0.9     4    MM  MM 1020.8  -2.5   3.9    MM  1.6   MM    MM
2014 02 08 03 04 260 10.0 13.0   0.8     4    MM  MM 1020.8  -2.2   3.9    MM  1.6   MM    MM
2014 02 08 02 04 260  9.0 11.0   0.7     4    MM  MM 1020.4  -2.0   4.0    MM  1.6   MM    MM
2014 02 08 01 04 260  9.0 11.0   0.6     3    MM  MM 1019.9  -1.7   4.0    MM  1.6   MM    MM
2014 02 08 00 04 270  7.0  9.0   0.6     4    MM  MM 1019.5  -1.4   4.0    MM  1.6   MM    MM
2014 02 07 23 04 250  8.0 10.0   0.7     4    MM  MM 1019.6  -1.3   4.1    MM  1.6   MM    MM
2014 02 07 22 04 250  8.0 10.0   0.8     8    MM  MM 1019.3  -1.5   4.0    MM  1.6   MM    MM
2014 02 07 21 04 240  6.0  8.0   0.5     3    MM  MM 1018.9  -1.5   4.0    MM  1.5   MM    MM
2014 02 07 19 04 250  6.0  8.0   0.8     8    MM  MM 1019.2  -2.7   4.0    MM  1.6   MM    MM
2014 02 07 18 04 270  7.0  9.0    MM    MM    MM  MM 1020.0  -3.1   4.0    MM  1.6   MM    MM
2014 02 07 17 04 260  6.0  8.0    MM    MM    MM  MM 1021.0  -4.1   4.0    MM  0.9   MM    MM
2014 02 07 16 04 260  7.0  9.0   0.9    11    MM  MM 1022.0  -4.1   4.0    MM  0.2   MM    MM
2014 02 07 15 04 260  8.0 10.0    MM    MM    MM  MM 1022.1  -5.1   4.0    MM  0.2   MM    MM
2014 02 07 14 04 260 10.0 11.0    MM    MM    MM  MM 1021.9  -5.5   4.0    MM  0.1   MM    MM
2014 02 07 13 04 260 10.0 11.0   1.1    11    MM  MM 1021.7  -5.5   4.0    MM  0.1   MM    MM
2014 02 07 12 04 250  7.0  9.0   1.0    11    MM  MM 1021.2  -6.1   3.9    MM  0.1   MM    MM
2014 02 07 11 04 250 10.0 11.0   0.6     3    MM  MM 1020.8  -6.1   3.9    MM  0.1   MM    MM
2014 02 07 10 04 260  8.0 10.0   0.6     4    MM  MM 1020.3  -6.0   3.9    MM  0.1   MM    MM
2014 02 07 09 04 260  8.0 10.0   1.1    11    MM  MM 1020.2  -5.9   4.0    MM  0.1   MM    MM
2014 02 07 08 04 270  8.0 10.0   1.3    11    MM  MM 1020.1  -5.4   4.0    MM  0.1   MM    MM
2014 02 07 07 04 260  9.0 11.0   1.4    11    MM  MM 1020.4  -5.3   4.1    MM  0.1   MM    MM
2014 02 07 06 04 260  9.0 10.0   1.3     8    MM  MM 1020.5  -4.3   4.1    MM  0.1   MM    MM
2014 02 07 05 04 260  7.0  8.0   1.2     8    MM  MM 1020.7  -4.3   4.1    MM  0.0   MM    MM
2014 02 07 04 04 250  8.0  9.0   1.4    11    MM  MM 1020.8  -3.2   4.1    MM  0.0   MM    MM
2014 02 07 03 04 240  6.0  8.0   1.4     8    MM  MM 1021.2  -2.9   4.1    MM  0.0   MM    MM
2014 02 07 02 04 240  5.0  6.0   1.2     8    MM  MM 1021.2  -3.7   4.2    MM  0.0   MM    MM
2014 02 07 01 04 250  4.0  6.0   1.2    11    MM  MM 1021.8  -3.9   4.2    MM  0.0   MM    MM
2014 02 07 00 04 250  5.0  7.0   1.1    11    MM  MM 1022.0  -3.8   4.2    MM  0.0   MM    MM
2014 02 06 23 04 230  5.0  6.0   1.2     8    MM  MM 1021.8  -3.9   4.2    MM  0.0   MM    MM
2014 02 06 22 04 240  5.0  7.0   1.5     8    MM  MM 1021.8  -4.0   4.3    MM  0.0   MM    MM
2014 02 06 21 04 220  5.0  6.0   1.4     8    MM  MM 1022.0  -4.3   4.3    MM  0.0   MM    MM
2014 02 06 20 04 200  5.0  6.0   1.7    11    MM  MM 1022.0  -4.9   4.3    MM  0.0   MM    MM
2014 02 06 19 04 210  3.0  5.0   1.6     8    MM  MM 1021.9  -5.3   4.3    MM  0.1   MM    MM
2014 02 06 18 04 220  2.0  3.0   1.5     8    MM  MM 1022.5  -5.8   4.3    MM  0.1   MM    MM
2014 02 06 17 04 240  1.0  2.0   1.8     8    MM  MM 1023.1  -5.8   4.3    MM  0.1   MM    MM
2014 02 06 16 04 350  2.0  4.0   1.8     8    MM  MM 1023.5  -6.2   4.3    MM  0.1   MM    MM
2014 02 06 15 04 350  4.0  6.0   2.1    11    MM  MM 1023.2  -6.6   4.2    MM  0.1   MM    MM
2014 02 06 14 04 360  4.0  6.0   2.0     8    MM  MM 1022.9  -6.5   4.2    MM  0.1   MM    MM
